time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0.239,0.48386099999999993,0.881199,1.92962,-5.7224,6.60699
0,0.239,0.48586099999999993,0.881199,1.94396,-5.61733,6.60021
0,0.239,0.48786099999999993,0.881199,1.94819,-5.53885,6.61115
0,0.239,0.48986099999999994,0.881199,1.95934,-5.47134,6.62764
0,0.239,0.49186099999999994,0.881199,1.9802,-5.3891,6.68913
0,0.239,0.49386099999999994,0.881199,1.99756,-5.33958,6.72522
0,0.239,0.49586099999999994,0.881199,2.01366,-5.28906,6.76768
0,0.239,0.49786099999999994,0.881199,2.00571,-5.24745,6.79981
0,0.239,0.49986099999999994,0.881199,2.01469,-5.18904,6.84617
0,0.239,0.5018609999999999,0.881199,1.99762,-5.13044,6.8535
0,0.239,0.5038609999999999,0.881199,1.96456,-5.04683,6.84019
0,0.239,0.5058609999999999,0.881199,1.89781,-4.9272,6.76329
0,0.239,0.5078609999999999,0.881199,1.82978,-4.78815,6.67445
0,0.239,0.5098609999999999,0.881199,1.77987,-4.67744,6.61108
0,0.239,0.5118609999999999,0.881199,1.70553,-4.52059,6.53038
0,0.239,0.5138609999999999,0.881199,1.62438,-4.33736,6.45063
0,0.239,0.5158609999999999,0.881199,1.57763,-4.21646,6.47142
0,0.239,0.5178609999999999,0.881199,1.57396,-4.12533,6.54603
0,0.239,0.5198609999999999,0.881199,1.61117,-4.06345,6.61724
0,0.239,0.5218609999999999,0.881199,1.64816,-3.98294,6.6571
0,0.239,0.5238609999999999,0.881199,1.66268,-3.8566,6.63618
0,0.239,0.5258609999999999,0.881199,1.67719,-3.72982,6.62947
0,0.239,0.5278609999999999,0.881199,1.66482,-3.56032,6.60353
0,0.239,0.5298609999999999,0.881199,1.65743,-3.36711,6.5719
0,0.239,0.5318609999999999,0.881199,1.67688,-3.20625,6.65882
0,0.239,0.5338609999999999,0.881199,1.71658,-3.08496,6.784
0,0.239,0.5358609999999999,0.881199,1.7735,-2.98904,7.01034
0,0.239,0.5378609999999999,0.881199,1.79666,-2.86974,7.20022
0,0.239,0.5398609999999999,0.881199,1.80489,-2.76381,7.35981
0,0.239,0.5418609999999999,0.881199,1.79822,-2.63075,7.39919
0,0.239,0.5438609999999999,0.881199,1.81347,-2.4829,7.36692
0,0.239,0.5458609999999999,0.881199,1.81395,-2.3538,7.31101
0,0.239,0.5478609999999999,0.881199,1.79383,-2.18375,7.24099
0,0.239,0.5498609999999999,0.881199,1.85576,-2.02343,7.32318
0,0.239,0.5518609999999999,0.881199,1.88622,-1.85429,7.3596
0,0.239,0.5538609999999999,0.881199,1.94289,-1.70079,7.49302
0,0.239,0.5558609999999999,0.881199,1.99658,-1.53264,7.6803
0,0.239,0.5578609999999999,0.881199,2.0694,-1.35453,7.91963
0,0.239,0.5598609999999999,0.881199,2.10638,-1.16863,8.10998
0,0.239,0.5618609999999999,0.881199,2.13494,-0.978495,8.24948
0,0.239,0.563861,0.881199,2.19768,-0.722313,8.40336
0,0.239,0.565861,0.881199,2.23705,-0.450912,8.55197
0,0.239,0.567861,0.881199,2.2463,-0.197367,8.62553
0,0.239,0.569861,0.881199,2.33967,0.0653958,8.82793
0,0.239,0.571861,0.881199,2.43214,0.346747,9.01508
0,0.239,0.573861,0.881199,2.56664,0.665752,9.33218
0,0.239,0.575861,0.881199,2.57105,0.835754,9.36109
0,0.239,0.577861,0.881199,2.50502,1.00568,9.27035
0,0.239,0.579861,0.881199,2.3399,1.15542,8.99807
0,0.239,0.581861,0.881199,2.25686,1.30533,8.80688
