time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0,0.042,-0.0108,-0.0006,15.4798,-7.83576,-0.82609
0,0.042,-0.0096,-0.009,15.0115,-6.11285,-6.11577
0,0.042,-0.0012,-0.0126,15.3862,-0.482645,-8.73531
0,0.042,0.009,0.0072,15.6035,6.24518,5.35743
0,0.042,-0.0102,-0.0096,14.7236,-6.30907,-6.24594
0,0.042,0.0078,-0.0114,14.8028,5.40667,-7.23103
0,0.042,-0.0096,0.0006,15.6243,-7.38771,0.0694466
0,0.042,0.009,0,15.7304,7.12423,0.437572
0,0.042,0.0078,0.0072,15.7671,5.69912,5.56652
0,0.042,0.0024,0.0054,16.679,1.30388,4.91851
0,0.042,0.0096,0.0066,15.5178,6.69149,4.91088
0,0.042,-0.0084,-0.012,14.5944,-4.90712,-7.60432
0,0.042,0.0138,0.003,14.511,8.76892,2.24127
0,0.042,-0.0108,-0.0012,15.4606,-7.75593,-1.30688
0,0.042,0.0102,-0.0096,14.5132,6.81334,-5.91629
0,0.042,0.0012,0.0144,14.8699,0.33667,9.24561
0,0.042,0.0078,0.0066,15.7987,5.83708,5.24542
0,0.042,-0.0108,-0.006,15.0865,-7.14192,-4.30153
0,0.042,-0.0078,0.0054,15.6401,-6.19224,4.03335
0,0.042,0.006,-0.0126,14.7506,4.19352,-7.93151
0,0.042,0.0072,-0.0126,14.6224,4.81518,-7.84782
0,0.042,-0.0102,0.0012,15.3906,-7.6584,0.534915
0,0.042,0.0102,-0.0078,14.7665,7.0264,-4.90728
0,0.042,0.0006,-0.012,15.4655,0.797393,-8.35325
0,0.042,-0.0102,0.0108,14.4273,-6.64512,6.54502
0,0.042,-0.0078,-0.012,14.6757,-4.5734,-7.69973
0,0.042,0.0084,0.0072,15.703,5.95453,5.44433
0,0.042,-0.0096,0,15.6954,-7.38134,-0.39892
0,0.042,0.015,0.0018,14.0042,9.13827,1.42569
0,0.042,0.012,0.0024,15.1042,8.08672,1.94152
0,0.042,0.0132,0.0012,14.5911,8.61756,1.14957
0,0.042,-0.009,0.0108,14.7316,-6.098,6.81183
0,0.042,0.0084,-0.0006,15.907,6.8488,-0.0991477
0,0.042,0.0108,-0.0084,14.5891,7.14549,-5.18174
0,0.042,0.0102,-0.0066,14.9475,7.16102,-4.33453
0,0.042,-0.0054,0.012,15.0393,-3.85417,7.81199
0,0.042,-0.0114,-0.0084,14.5996,-7.01525,-5.56769
0,0.042,-0.0048,0.0108,15.4301,-3.66238,7.4207
0,0.042,-0.0072,-0.012,14.7208,-4.2504,-7.77429
0,0.042,-0.0096,-0.0018,15.7002,-7.35445,-1.68366
0,0.042,-0.0078,0.0078,15.3632,-5.87955,5.45144
0,0.042,-0.0012,-0.0102,15.6282,-0.640529,-7.64066
0,0.042,0.0102,-0.0108,14.368,6.60084,-6.54772
0,0.042,0.0072,0.0072,15.815,5.41337,5.7163
0,0.042,0.0126,-0.0006,14.8213,8.41158,-0.0702672
0,0.042,-0.003,0.0114,15.4671,-2.4613,7.85237
0,0.042,0.0126,0.0012,14.7545,8.35289,1.16233
0,0.042,0.0144,-0.003,14.047,8.94659,-1.56297
0,0.042,-0.009,-0.0018,15.858,-7.04072,-1.69471
0,0.042,0.0078,-0.0024,15.85,6.54043,-1.62376
0,0.042,-0.0006,-0.0096,15.6111,-0.204622,-7.24632
0,0.042,0.0096,-0.0102,14.5755,6.35959,-6.37773
0,0.042,0.0138,-0.0072,13.9509,8.55461,-4.11846
0,0.042,-0.0066,0.006,15.8298,-5.44292,4.58302
0,0.042,0.0042,-0.012,15.1139,3.14593,-7.96366
0,0.042,0.0012,-0.0084,15.9896,1.28074,-6.52648
0,0.042,0.0018,0.006,16.5544,0.821382,5.1819
0,0.042,0.0102,0,15.426,7.67597,0.376687
0,0.042,-0.0108,0.0108,14.2716,-6.87874,6.46214
0,0.042,0,0.0102,15.8083,-0.254853,7.47893
0,0.042,0.0024,0.0042,16.8335,1.25269,3.55884
0,0.042,0.0096,-0.0096,14.6525,6.44943,-6.10464
0,0.042,-0.0078,0.006,15.5334,-6.15539,4.4029
0,0.042,0.0108,-0.0078,14.6655,7.19934,-4.85895
0,0.042,-0.0084,0.0078,15.2585,-6.16549,5.31129
0,0.042,-0.0096,0.0012,15.5569,-7.40873,0.478362
0,0.042,-0.009,-0.0042,15.6363,-6.82321,-3.50235
0,0.042,-0.0018,-0.0108,15.6076,-0.970849,-7.89677
0,0.042,-0.0144,0,14.2007,-8.96927,-0.40986
0,0.042,0.0102,-0.0084,14.6499,6.9721,-5.21769
0,0.042,-0.0072,-0.0102,15.2447,-4.60571,-7.05302
0,0.042,-0.0012,-0.012,15.5055,-0.465734,-8.45983
0,0.042,-0.0096,-0.0072,15.2477,-6.43595,-5.19207
0,0.042,0.0024,-0.0132,14.9752,1.9162,-8.70443
0,0.042,-0.015,0.0018,13.896,-9.132,0.778352
0,0.042,-0.0066,0.0066,15.7639,-5.37785,5.00052
0,0.042,0.0084,-0.0024,15.7119,6.96591,-1.61092
0,0.042,0.0132,-0.0078,14.0302,8.24719,-4.45568
0,0.042,0.009,-0.009,14.8801,6.18989,-5.90619
0,0.042,0.0066,-0.0102,15.1921,4.7581,-6.97113
0,0.042,0.0138,-0.0042,14.2819,8.78044,-2.33248
0,0.042,-0.009,-0.0078,15.3658,-6.03555,-5.67375
0,0.042,-0.0048,0.012,15.0595,-3.51247,7.85459
0,0.042,0.003,0.0042,16.823,1.77806,3.57005
0,0.042,0.0018,0.0036,16.8348,0.757816,2.81884
0,0.042,-0.0054,0.0126,14.8747,-3.82834,8.08366
0,0.042,0.0138,0.0018,14.4532,8.80746,1.46716
0,0.042,0.0012,0.006,16.5142,0.441044,5.12906
0,0.042,-0.0006,0.0042,16.863,-0.575165,3.24679
0,0.042,-0.0114,0.0078,14.5447,-7.53883,4.75528
0,0.042,0,0.0036,16.9015,-0.334205,2.79427
0,0.042,-0.0102,-0.0024,15.5595,-7.52453,-2.05365
